Coast|Dogs not allowed|Established campsites|Fall foilage|Good for kids|Lakes|Mountain views|Old growth|Ridges/passes|Rivers|Summits|Waterfalls|Wildflowers/Meadows|Wildlife|elevation_gain|highest_point|hike_name|lat|long|numReports|number_votes|url|which_pass|super_region|sub_region|total_distance|stars|Backcountry camping permit. Register in person at ranger station (no fee)|Discover Pass|Discover Pass, Sno-Parks Permit|National Monument Fee|National Monument Fee, Sno-Parks Permit|National Park Pass|None|None, Northwest Forest Pass|Northwest Forest Pass|Northwest Forest Pass, Sno-Parks Permit|Oregon State Parks Day-Use|Refuge Entrance Pass|Sno-Parks Permit|Wilderness permit. Self-issue at trailhead (no fee)| Bellingham Area| Blewett Pass| Chinook Pass - Hwy 410| Cle Elum Area| Columbia River Gorge - OR| Columbia River Gorge - WA| Cougar Mountain| Dark Divide| Entiat Mountains/Lake Chelan| Goat Rocks| Grand Coulee| Hood Canal| Kitsap Peninsula| Leavenworth Area| Lewis River Region| Long Beach Area| Methow/Sawtooth| Mount Adams Area| Mount Baker Area| Mount St. Helens| Mountain Loop Highway| NE - Sunrise/White River| NW - Carbon River/Mowich| North Bend Area| North Cascades Highway - Hwy 20| Northern Coast| Okanogan Highlands/Kettle River Range| Olympia| Orcas Island| Pacific Coast| Palouse and Blue Mountains| Pasayten| Potholes Region| SE - Cayuse Pass/Steven's Canyon| SW - Longmire/Paradise| Salmon La Sac/Teanaway| San Juan Islands| Seattle-Tacoma Area| Selkirk Range| Snoqualmie Pass| Spokane Area/Coeur d'Alene| Squak Mountain| Stevens Pass - East| Stevens Pass - West| Tiger Mountain| Tri-Cities| Vancouver Area| Wenatchee| Whidbey Island| White Pass/Cowlitz River Valley| Yakima|NaN|distance_from_median
1943|0|0|1|0|1|0|0|0|0|0|0|0|0|0|||Douglas Falls Grange Park - Nature Loop Trail|48.6149|-117.9001|4||https://www.wta.org/go-hiking/hikes/douglas-falls-grange-park-nature-loop-trail|Discover Pass|nan|NaN|||0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9225.95954931072
2387|0|0|0|0|1|1|0|0|0|1|0|0|1|1|||Four Springs Lake Preserve|||4||https://www.wta.org/go-hiking/hikes/four-springs-lake-preserve||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2833|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Middle Tommy|||4||https://www.wta.org/go-hiking/hikes/middle-tommy||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2376|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Alta Mountain Tarns|||4||https://www.wta.org/go-hiking/hikes/alta-mountain-tarns-via-mineral-creek-trail||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
471|0|1|0|0|0|0|0|0|0|1|0|0|0|1|||White Bluffs - Central Slope|||4||https://www.wta.org/go-hiking/hikes/white-bluffs-central-slope|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
288|0|0|0|0|1|0|1|0|0|1|0|0|0|0|120.0|200.0|Tamanous Trail|45.6503|-121.9326|4|2.0|https://www.wta.org/go-hiking/hikes/tamanous-trail-27|Northwest Forest Pass|Southwest Washington| Columbia River Gorge - WA|1.2|1.5|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9786.341621690437
519|0|0|0|0|0|0|1|0|0|0|1|0|0|0|||Old Pass Hill|47.3317|-120.6423|4||https://www.wta.org/go-hiking/hikes/old-pass-hill|Sno-Parks Permit|nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9398.364952381487
645|0|0|0|0|0|1|1|0|0|0|1|0|1|0|||Grassy Top|48.8064|-117.1945|4||https://www.wta.org/go-hiking/hikes/grassy-top|Northwest Forest Pass|nan|NaN|||0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9195.979693036054
854|0|0|0|0|0|0|1|0|0|1|1|0|0|1|||Candy Point Trail|47.9688|-118.9852|4||https://www.wta.org/go-hiking/hikes/candy-point-trail|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9309.979141022986
1710|0|0|0|0|0|0|0|0|0|0|0|0|0|0|360.0|3960.0|Swan Lake|48.5155|-118.8356|4|4.0|https://www.wta.org/go-hiking/hikes/swan-lake||Eastern Washington| Okanogan Highlands/Kettle River Range|3.1|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9143.27336965588
1680|0|0|1|0|0|0|1|0|1|1|1|0|1|1|||Tucannon River - Rattlesnake Loop|46.18899999999999|-117.6194|4||https://www.wta.org/go-hiking/hikes/tucannon-river-rattlesnake-loop|Northwest Forest Pass|nan|NaN|||0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9488.204897362317
1615|0|0|0|0|0|0|0|0|0|1|1|0|1|0|||Sentinel Mountain|46.8182|-119.8623|4||https://www.wta.org/go-hiking/hikes/sentinel-mountain||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9446.501275448398
1926|0|0|0|0|1|1|0|0|0|0|0|0|0|0|||Lake Ballinger Park|47.7897|-122.3293|4||https://www.wta.org/go-hiking/hikes/lake-ballinger-park|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9364.044887222833
834|0|0|0|0|1|0|0|0|0|0|0|0|1|1|||Badger Mountain - The Langdon Trail|46.2423|-119.3457|4||https://www.wta.org/go-hiking/hikes/badger-mountain-trail-4|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9503.927062801233
1346|0|0|0|0|1|0|0|0|0|1|0|0|0|0|60.0|50.0|Quillayute River Slough|47.9181|-124.6027|4|4.0|https://www.wta.org/go-hiking/hikes/quillayute-river|None|Olympic Peninsula| Pacific Coast|1.8|2.5|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9353.334549934765
2452|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Bulls Tooth Loop|||4||https://www.wta.org/go-hiking/hikes/bulls-tooth-loop||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2369|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Beaver Pass|||4||https://www.wta.org/go-hiking/hikes/beaver-pass||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2840|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Maggie Creek|||4||https://www.wta.org/go-hiking/hikes/maggie-creek||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2271|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||McClain Peaks|||4||https://www.wta.org/go-hiking/hikes/mcclain-peaks||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
587|0|0|0|0|1|0|0|1|0|0|0|0|0|0|80.0|100.0|Big Cedar Tree - Quinault|47.478|-123.9034|4|2.0|https://www.wta.org/go-hiking/hikes/big-cedar-tree|None|Olympic Peninsula| Olympia|0.5|4.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9455.89027224655
2046|0|0|0|0|0|0|0|0|0|0|1|0|0|0|||Copper Mountain|||4||https://www.wta.org/go-hiking/hikes/copper-mountain-1|Northwest Forest Pass|nan|NaN|||0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1539|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Mount Spokane State Park - Lower Trail 140|47.9046|-117.1248|4||https://www.wta.org/go-hiking/hikes/mount-spokane-state-park-lower-trail-140||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9293.763600249385
1788|0|0|1|0|0|0|0|1|0|0|0|0|1|1|1750.0|3080.0|North Fork Asotin Creek to Pinkham Butte|46.2615|-117.2987|4|0.0|https://www.wta.org/go-hiking/hikes/north-fork-asotin-creek|Discover Pass|Eastern Washington| Palouse and Blue Mountains|20.0|0.0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9621.995134819008
1920|0|0|0|0|0|0|1|0|0|0|1|0|1|0|||Old Stagecoach Trail to Copper Butte|48.7027|-118.4665|4||https://www.wta.org/go-hiking/hikes/old-stagecoach-trail-to-copper-butte|Northwest Forest Pass|nan|NaN|||0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9223.25941394841
2607|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Shellrock Peak|||4||https://www.wta.org/go-hiking/hikes/shellrock-peak||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1620|0|0|0|0|1|0|1|0|0|1|0|0|1|1|||Sa Teekh Wa Trail|48.4802|-120.1855|4||https://www.wta.org/go-hiking/hikes/sa-teekh-wa-trail|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9267.099932579742
2276|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Baker Lake - Horseshoe Cove Snowshoe|48.6786|-121.7103|4||https://www.wta.org/go-hiking/hikes/baker-lake-horseshoe-cove||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9260.320575442684
1792|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||No Name|47.5379|-122.0888|5||https://www.wta.org/go-hiking/hikes/no-name|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9389.697615015684
1073|0|1|0|0|0|1|0|1|0|0|0|0|0|1|200.0|225.0|Willapa National Wildlife Refuge - Art Walk|46.4122|-123.94|5|5.0|https://www.wta.org/go-hiking/hikes/willapa-national-wildlife-refuge-long-island|None|Southwest Washington| Long Beach Area|0.75|2.8|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9640.680018835135
1137|0|1|0|0|0|0|1|0|1|1|0|0|1|0|400.0|5850.0|Moraine Trail|46.7864|-121.7365|5|2.0|https://www.wta.org/go-hiking/hikes/moraine-trail|National Park Pass|Mount Rainier Area| SW - Longmire/Paradise|2.2|5.0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9551.029060704455
992|1|0|1|0|1|0|0|0|0|1|0|0|0|1|||Saltwater State Park|47.3774|-122.3195|5||https://www.wta.org/go-hiking/hikes/saltwater-state-park|Discover Pass|nan|NaN|||0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9409.496550911228
2547|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Stafford Lookout|47.3555|-120.8344|5||https://www.wta.org/go-hiking/hikes/stafford-lookout||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9397.720079341736
2236|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||English Boom|||5||https://www.wta.org/go-hiking/hikes/english-boom||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1840|0|0|0|0|0|0|0|0|0|0|1|0|0|0|3300.0|5420.0|Low Mountain|47.4348|-121.4693|5|0.0|https://www.wta.org/go-hiking/hikes/low-mountain|Sno-Parks Permit|Snoqualmie Region| Snoqualmie Pass|6.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|9417.80684345039
2448|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Indian Head Peak|||5||https://www.wta.org/go-hiking/hikes/indian-head-peak||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1780|0|0|0|0|0|0|0|0|0|0|0|0|0|0|130.0|250.0|Otto Preserve|48.6981|-122.6745|5|1.0|https://www.wta.org/go-hiking/hikes/otto-preserve||Puget Sound and Islands| San Juan Islands|1.2|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9170.146338410997
2222|0|0|0|0|1|1|0|1|0|0|0|0|1|1|||Conboy Lake National Wildlife Refuge|45.9731|-121.3419|5||https://www.wta.org/go-hiking/hikes/conboy-lake-national-wildlife-refuge||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9555.258623918908
2447|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Merchant Peak|47.7923|-121.4593|5||https://www.wta.org/go-hiking/hikes/merchant-peak||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9355.74475036648
2796|0|0|0|0|0|1|0|0|0|0|0|0|0|1|600.0|5400.0|Mosquito Valley|46.751999999999995|-121.3615|5|5.0|https://www.wta.org/go-hiking/hikes/mosquito-meadows|Northwest Forest Pass|South Cascades|NaN|9.0|3.4|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9469.543237894344
2319|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Sky Mountain|47.7461|-121.0892|5||https://www.wta.org/go-hiking/hikes/sky-mountain||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9357.22989066379
1144|0|0|0|0|0|0|1|0|1|0|1|0|1|0|2185.0|4602.0|Little Bald Mountain|46.9815|-121.1206|5|3.0|https://www.wta.org/go-hiking/hikes/little-bald-mountain|None|Mount Rainier Area| Chinook Pass - Hwy 410|12.6|2.67|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9504.30962673316
595|0|0|0|0|1|0|0|1|0|0|0|0|0|0|||Cedar Creek Park|47.4108|-122.0038|5||https://www.wta.org/go-hiking/hikes/cedar-creek-park||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9402.954410310616
2292|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Kindy Ridge|||5||https://www.wta.org/go-hiking/hikes/kindy-ridge||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2223|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||The Eaglet|||5||https://www.wta.org/go-hiking/hikes/the-eaglet||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1595|0|0|0|0|0|0|1|0|1|0|0|0|0|0|||Shellrock Pass|||5||https://www.wta.org/go-hiking/hikes/shellrock-pass|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2483|0|0|0|0|0|0|1|0|0|0|1|0|0|0|||Captain Point|47.7669|-121.1939|5||https://www.wta.org/go-hiking/hikes/captain-point||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9355.970042908657
2792|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Minnow Creek|||5||https://www.wta.org/go-hiking/hikes/minnow-creek||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1030|0|0|0|0|1|0|0|1|0|1|1|0|0|1|600.0|2619.0|Mill Butte - Little Pend Oreille|48.6238|-117.5316|5|7.0|https://www.wta.org/go-hiking/hikes/little-pend-oreille||Eastern Washington| Selkirk Range|4.5|2.43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|9113.965745499225
2512|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Barrier Peak|46.8625|-121.5299|5||https://www.wta.org/go-hiking/hikes/barrier-peak||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9458.99835855656
1603|0|0|1|0|1|0|0|1|0|1|0|0|0|0|100.0|575.0|Skagit River|48.6658|-121.2669|5|5.0|https://www.wta.org/go-hiking/hikes/skagit-river||North Cascades| North Cascades Highway - Hwy 20|1.8|3.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9158.302282447185
1061|0|0|0|0|0|0|1|0|0|0|1|0|0|0|3990.0|3830.0|Huffman Peak|45.9465|-122.1779|5|4.0|https://www.wta.org/go-hiking/hikes/huffman-peak|Northwest Forest Pass|South Cascades| Mount St. Helens|13.6|3.5|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9705.326240422119
1771|0|0|0|0|1|0|0|0|0|1|0|0|0|1|||McLellan Conservation Area|47.8746|-117.691|5||https://www.wta.org/go-hiking/hikes/mclellan-conservation-area||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9304.446390492509
2808|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Mount Hopper|||5||https://www.wta.org/go-hiking/hikes/mount-hopper||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2262|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Hamlin Park|47.7466|-122.3102|5||https://www.wta.org/go-hiking/hikes/hamlin-park-shoreline||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9368.63631994082
2300|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Murphy Lakes|47.7125|-121.1454|5||https://www.wta.org/go-hiking/hikes/murphy-lakes||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9361.49056572853
